Title,Authors,Publication date,Keywords,Abstract,Highlights,Url,Doi
What is required to combine human biomonitoring and health surveys?,"Hanna Tolonen, Sonja Moore, Dominik Lermen, Ana Virgolino, Lisbeth E Knudsen, Anna-Maria Andersson, Loïc Rambaud, Carla Ancona, Marike Kolossa-Gehring ",2022-03,HBM4EU; Health; Human biomonitoring; Survey; Population; Biological samples; Questionnaire; Measurement,"Obtaining holistic information about health and health determinants at the population level should also include data on environmental risk factors of health. So far, only a few countries have combined, at the national level, health and human biomonitoring (HBM) surveys to collect extensive information on health, lifestyles, biological health determinants and environmental exposures. This paper will provide guidelines on how to combine health and HBM surveys and what is the added value of doing so. Health and HBM surveys utilize similar infrastructure and data collection methods including questionnaires, collection and analysis of biological samples, and objective health measurements. There are many overlapping or comparable steps in these two survey types. At the European level, detailed protocols for conducting a health examination survey or HBM study exists separately but there is no protocol for a combined survey available by now. Our recommendations for combined health and HBM surveys focus on a cross-sectional survey on general population aged 6–79 years. To avoid unnecessary participant burden, for the selection of included measurements basic principle would be to ensure that results of the measurements have a public health relevance and clear interpretation. Combining health and HBM surveys into one survey would produce an extensive database for research to support policy decisions in many fields such as public health and chemical regulations. Combined surveys are cost-effective as only one infrastructure is needed to collect information and recruit participants.",,https://www.sciencedirect.com/science/article/pii/S1438463922000475?via%3Dihub,https://doi.org/10.1016/j.ijheh.2022.113964
"HBM4EU Chromates Study: Determinants of Exposure to Hexavalent Chromium in Plating, Welding and Other Occupational Settings","Susana Viegas, Carla Martins, Beatrice Bocca, Radia Bousoumah, Radu Corneliu Duca, Karen S. Galea, Lode Godderis, Ivo Iavicoli, Beata Janasik, Kate Jones, Elizabeth Leese, Veruscka Leso, Sophie Ndaw, An van Nieuwenhuyse, Katrien Poels, Simo P. Porras, Flavia Ruggieri, Maria João Silva, Jelle Verdonck, Wojciech Wasowicz, Paul T. J. Scheepers, Tiina Santonen and HBM4EU Chromates Study Team",2022-03,hexavalent chromium; exposure determinants; risk management measures; occupational hygiene; biomonitoring; air monitoring; dermal exposure,"Work-related exposures in industrial processing of chromate (chrome plating, surface treatment and welding) raise concern regarding the health risk of hexavalent chromium (Cr(VI)). In this study, performed under the HBM4EU project, we focused on better understanding the determinants of exposure and recognising how risk management measures (RMMs) contribute to a reduction in exposure. HBM and occupational hygiene data were collected from 399 workers and 203 controls recruited in nine European countries. Urinary total chromium (U-Cr), personal inhalable and respirable dust of Cr and Cr(VI) and Cr from hand wipes were collected. Data on the RMMs were collected by questionnaires. We studied the association between different exposure parameters and the use of RMMs. The relationship between exposure by inhalation and U-Cr in different worker groups was analysed using regression analysis and found a strong association. Automatisation of Cr electroplating dipping explained lower exposure levels in platers. The use of personal protective equipment resulted in lower U-Cr levels in welding, bath plating and painting. An effect of wearing gloves was observed in machining. An effect of local exhaust ventilation and training was observed in welding. Regression analyses showed that in platers, exposure to air level of 5 µg/m3 corresponds to U-Cr level of 7 µg/g creatinine. In welders, the same inhalation exposure resulted in lower U-Cr levels reflecting toxicokinetic differences of different chromium species.",,https://www.mdpi.com/1660-4601/19/6/3683,https://doi.org/10.3390/ijerph19063683
Environmental Substances Associated with Chronic Obstructive Pulmonary Disease—A Scoping Review,"Hanna Maria Elonheimo, Tiina Mattila, Helle Raun Andersen, Beatrice Bocca, Flavia Ruggieri, Elsi Haverinen and Hanna Tolonen",2022-03,chronic obstructive pulmonary disease (COPD); chemical exposure; pesticides; cadmium (Cd); chromium (Cr); arsenic (As); lead (Pb); diisocyanates; polycyclic aromatic hydrocarbons (PAHs); HBM4EU; human biomonitoring (HBM),"Chronic obstructive pulmonary disease (COPD) is a slowly developing non-communicable disease (NCD), causing non-reversible obstruction and leading to marked morbidity and mortality. Besides traditional risk factors such as smoking, some environmental substances can augment the risk of COPD. The European Human Biomonitoring Initiative (HBM4EU) is a program evaluating citizens’ exposure to various environmental substances and their possible health impacts. Within the HBM4EU, eighteen priority substances or substance groups were chosen. In this scoping review, seven of these substances or substance groups are reported to have an association or a possible association with COPD. Main exposure routes, vulnerable and high-exposure risk groups, and matrices where these substances are measured are described. Pesticides in general and especially organophosphate and carbamate insecticides, and some herbicides, lead (Pb), and polycyclic aromatic hydrocarbons (PAHs) showed an association, and cadmium (Cd), chromium (Cr and CrVI), arsenic (As), and diisocyanates, a possible association with COPD and/or decreased lung function. Due to long latency in COPD’s disease process, the role of chemical exposure as a risk factor for COPD is probably underestimated. More research is needed to support evidence-based conclusions. Generally, chemical exposure is a growing issue of concern, and prompt action is needed to safeguard public health. ",,https://www.mdpi.com/1660-4601/19/7/3945,https://doi.org/10.3390/ijerph19073945
The Association between ADHD and Environmental Chemicals—A Scoping Review,"Sonja Moore, Laura Paalanen, Lisa Melymuk, Andromachi Katsonouri, Marike Kolossa-Gehring, Hanna Tolonen",2022-03,ADHD; chemical exposure; HBM4EU; health effect; lead; phthalates; bisphenol A; polycyclic aromatic hydrocarbons; mercury; pesticides,"The role of environmental chemicals in the etiology of attention deficit hyperactivity disorder (ADHD) has been of interest in recent research. This scoping review aims to summarize known or possible associations between ADHD and environmental exposures to substances selected as priority chemicals of the European Human Biomonitoring Initiative (HBM4EU). Literature searches were performed in PubMed to identify relevant publications. Only meta-analyses and review articles were included, as they provide more extensive evidence compared to individual studies. The collected evidence indicated that lead (Pb), phthalates and bisphenol A (BPA) are moderately to highly associated with ADHD. Limited evidence exists for an association between ADHD and polycyclic aromatic hydrocarbons (PAHs), flame retardants, mercury (Hg), and pesticides. The evidence of association between ADHD and cadmium (Cd) and per- and polyfluoroalkyl substances (PFASs) based on the identified reviews was low but justified further research. The methods of the individual studies included in the reviews and meta-analyses covered in the current paper varied considerably. Making precise conclusions in terms of the strength of evidence on association between certain chemicals and ADHD was not straightforward. More research is needed for stronger evidence of associations or the lack of an association between specific chemical exposures and ADHD.",,https://www.mdpi.com/1660-4601/19/5/2849/htm,
Using Human Biomonitoring Data to Support Risk Assessment of Cosmetic Ingredients—A Case Study of Benzophenone-3,"Christophe Rousselle, Matthieu Meslin, Tamar Berman, Marjolijn Woutersen, Wieneke Bil, Jenna Wildeman, Qasim Chaudhry ",2022-02,human biomonitoring; UV filters; benzophenone-3; HBM4EU; risk assessment; RCR; margin of safety,"Safety assessment of UV filters for human health by the Scientific Committee on Consumer Safety (SCCS) is based on the estimation of internal dose following external (skin) application of cosmetic products, and comparison with a toxicological reference value after conversion to internal dose. Data from human biomonitoring (HBM) could be very useful in this regard, because it is based on the measurement of real-life internal exposure of the human population to a chemical. UV filters were included in the priority list of compounds to be addressed under the European Human Biomonitoring Initiative (HBM4EU), and risk assessment of benzophenone-3 (BP-3) was carried out based on HBM data. Using BP-3 as an example, this study investigated the benefits and limitations of the use of external versus internal exposure data to explore the usefulness of HBM to support the risk assessment of cosmetic ingredients. The results show that both approaches did indicate a risk to human health under certain levels of exposure. They also highlight the need for more robust exposure data on BP-3 and other cosmetic ingredients, and a standardized framework for incorporating HBM data in the risk assessment of cosmetic products.",,https://www.mdpi.com/2305-6304/10/2/96,
Critical review of analytical methods for the determination of flame retardants in human matrices,"Parvaneh Hajeb, Argelia Castaño, Enrique Cequier, Adrian Covaci, Marta Esteban López, Ana Gonzalez Antuña, Line Småstuen Haug, Luis Alberto Henríquez-Hernández, Lisa Melymuk, Octavio Pérez Luzardo, Cathrine Thomsen, Katrin Vorkamp",2022-01,Human biomonitoring; Emerging contaminants; HBM4EU; Novel halogenated flame retardants; Organophosphorous flame retardants,"Human biomonitoring is a powerful approach in assessing exposure to environmental pollutants. Flame retardants (FRs) are of particular concern due to their wide distribution in the environment and adverse health effects. This article reviews studies published in 2009–2020 on the chemical analysis of FRs in a variety of human samples and discusses the characteristics of the analytical methods applied to different FR biomarkers of exposure, including polybrominated diphenyl ethers (PBDEs), hexabromocyclododecane (HBCD), novel halogenated flame retardants (NHFRs), bromophenols, incl. tetrabromobisphenol A (TBBPA), and organophosphorous flame retardants (PFRs). Among the extraction techniques, liquid-liquid extraction (LLE) and solid phase extraction (SPE) were used most frequently due to the good efficiencies in the isolation of the majority of the FR biomarkers, but with challenges for highly lipophilic FRs. Gas chromatography-mass spectrometry (GC-MS) is mainly applied in the instrumental analysis of PBDEs and most NHFRs, with recent inclusions of GC-MS/MS and high resolution MS techniques. Liquid chromatography-MS/MS is mainly applied to HBCD, bromophenols, incl. TBBPA, and PFRs (including metabolites), however, GC-based analysis following derivatization has also been used for phenolic compounds and PFR metabolites. Developments are noticed towards more universal analytical methods, which enable widening method scopes in the human biomonitoring of FRs. Challenges exist with regard to sensitivity required for the low concentrations of FRs in the general population and limited sample material for some human matrices. A strong focus on quality assurance/quality control (QA/QC) measures is required in the analysis of FR biomarkers in human samples, related to their variety of physical-chemical properties, low levels in most human samples and the risk of contamination.",,https://www.sciencedirect.com/science/article/pii/S0003267021006541?via%3Dihub,https://doi.org/10.1016/j.aca.2021.338828
The questionnaire design process in the European Human Biomonitoring Initiative (HBM4EU),"Beatriz Gonzalez-Alzaga, Antonio F. Hernandez, L. Kim Pack, Ivo Iavicoli, Hanna Tolonen, Tiina Santonen, Marco Vinceti, Tommaso Filippini, Hanns Moshammer, Nicole Probst-Hensch, Marike Kolossa-Gehring, Marina Lacasana",2021-12,HBM4EU; Human biomonitoring; Environmental exposures; Study design; Questionnaire development; Data collection; Exposure characterization; Standardised procedures,,"HBM4EU aims to gather evidence on real human exposures to chemicals in Europe.

The process for developing epidemiological questionnaires within HBM4EU is described.

Challenges found during this process were addressed to support future research in HBM.

Procedures for questionnaires design should be standardised across HBM studies.

Readily accessible questionnaires will improve data collection in HBM studies.",https://www.sciencedirect.com/science/article/pii/S0160412021006966?via%3Dihub,
HBM4EU Occupational Biomonitoring Study on e-Waste — Study Protocol,"Paul T. J. Scheepers, Radu Corneliu Duca, Karen S. Galea, Lode Godderis, Emilie Hardy, Lisbeth E. Knudsen, Elizabeth Leese, Henriqueta Louro, Selma Mahiout, Sophie Ndaw, Katrien Poels, Simo P. Porras, Maria J. Silva, Ana Maria Tavares, Jelle Verdonck, Susana Viegas, Tiina Santonen, HBM4EU e-Waste Study Team",2021-12,biomarkers; flame retardants; phthalates; cadmium; chromium; lead; mercury; occupational exposure; recycling,"Workers involved in the processing of electronic waste (e-waste) are potentially exposed to toxic chemicals. If exposure occurs, this may result in uptake and potential adverse health effects. Thus, exposure surveillance is an important requirement for health risk management and prevention of occupational disease. Human biomonitoring by measurement of specific biomarkers in body fluids is considered as an effective method of exposure surveillance. The aim of this study is to investigate the internal exposure of workers processing e-waste using a human biomonitoring approach, which will stimulate improved work practices and contribute to raising awareness of potential hazards. This exploratory study in occupational exposures in e-waste processing is part of the European Human Biomonitoring Initiative (HBM4EU). Here we present a study protocol using a cross sectional survey design to study worker’s exposures and compare these to the exposure of subjects preferably employed in the same company but with no known exposure to industrial recycling of e-waste. The present study protocol will be applied in six to eight European countries to ensure standardised data collection. The target population size is 300 exposed and 150 controls. Biomarkers of exposure for the following chemicals will be used: chromium, cadmium and lead in blood and urine; brominated flame retardants and polychlorobiphenyls in blood; mercury, organophosphate flame retardants and phthalates in urine, and chromium, cadmium, lead and mercury in hair. In addition, the following effect biomarkers will be studied: micronuclei, epigenetic, oxidative stress, inflammatory markers and telomere length in blood and metabolomics in urine. Occupational hygiene sampling methods (airborne and settled dust, silicon wristbands and handwipes) and contextual information will be collected to facilitate the interpretation of the biomarker results and discuss exposure mitigating interventions to further reduce exposures if needed. This study protocol can be adapted to future European-wide occupational studies",,https://www.mdpi.com/1660-4601/18/24/12987,
Metabolic syndrome and endocrine disrupting chemicals: an overview of exposure and health effects,"Elsi Haverinen, Mariana F. Fernandez, Vicente Mustieles, Hanna Tolonen",2021-12,metabolic syndrome; endocrine disrupting chemicals; human biomonitoring; HBM4EU; obesity; insulin resistance; diabetes; dyslipidemia; hypertension,"Increasing prevalence of metabolic syndrome (MetS) is causing a significant health burden among the European population. Current knowledge supports the notion that endocrine-disrupting chemicals (EDCs) interfere with human metabolism and hormonal balance, contributing to the conventionally recognized lifestyle-related MetS risk factors. This review aims to identify epidemiological studies focusing on the association between MetS or its individual components (e.g., obesity, insulin resistance, diabetes, dyslipidemia and hypertension) and eight HBM4EU priority substances (bisphenol A (BPA), per- and polyfluoroalkyl substances (PFASs), phthalates, polycyclic aromatic hydrocarbons (PAHs), pesticides and heavy metals (cadmium, arsenic and mercury)). Thus far, human biomonitoring (HBM) studies have presented evidence supporting the role of EDC exposures on the development of individual MetS components. The strength of the association varies between the components and EDCs. Current evidence on metabolic disturbances and EDCs is still limited and heterogeneous, and mainly represent studies from North America and Asia, highlighting the need for well-conducted and harmonized HBM programmes among the European population. Rigorous and ongoing HBM in combination with health monitoring can help to identify the most concerning EDC exposures, to guide future risk assessment and policy actions",,https://www.mdpi.com/1660-4601/18/24/13047,
Environmental Substances Associated with Alzheimer’s Disease — A Scoping Review,"Hanna Maria Elonheimo, Helle Raun Andersen, Andromachi Katsonouri, Hanna Tolonen",2021-11,Alzheimer’s disease (AD); chemical exposure; pesticides; mercury (Hg); cadmium (Cd); arsenic (As); lead (Pb); HBM4EU,"Alzheimer’s disease (AD) is the most common form of dementia, prevalent in approximately 50–70% of the dementia cases. AD affects memory, and it is a progressive disease interfering with cognitive abilities, behaviour and functioning of the person affected. In 2015, there were 47 million people affected by dementia worldwide, and the figure was estimated to increase to 75 million in 2030 and to 132 million by 2050. In the framework of European Human Biomonitoring Initiative (HBM4EU), 18 substances or substance groups were prioritized for investigation. For each of the priority substances, a scoping document was prepared. Based on these scoping documents and complementary review of the recent literature, a scoping review of HBM4EU-priority substances which might be associated with AD was conducted. A possible association between risk of AD and pesticides was detected. For mercury (Hg), association is possible but inconsistent. Regarding cadmium (Cd) and arsenic (As), the results are inconsistent but inclined towards possible associations between the substances and the risk of disease. The evidence regarding lead (Pb) was weaker than for the other substances; however, possible associations exist. Although there is evidence of adverse neurological effects of environmental substances, more research is needed. Environmental chemical exposure and the related hazards are essential concerns for public health, and they could be preventable",,https://www.mdpi.com/1660-4601/18/22/11839,
