1,22-Feb-17,EEA et al,Human biomonitoring as a tool to support chemicals regulation in the European Union,24-Jan-17,2,"International Journal of Hygiene and Environmental Health.Volume 220, Issue 2, Part A, March 2017, Pages 94-97",,https://www.sciencedirect.com/science/article/pii/S1438463916303613?via%3Dihub,International Journal of Hygiene and Environmental Health,"Catherine Ganzleben, Jean-Philippe Antignac, Robert Barouki, Argelia Castaño, Ulrike Fiddicke, Jana Klánová, Erik Lebret, Nicolas Olea, Dimosthenis Sarigiannis, Greet R. Schoeters, Ovnair Sepai, Hanna Tolonen, Marike Kolossa-Gehringe",catherine.ganzleben@eea.europa.eu,access via institutional login/e-mail OR purchase PDF,,,,,,,,,
2,21-Sep-18,VITO et al,Development of policy relevant human biomonitoring indicators for chemical exposure in the European population' ,17-Sep-18,5,"Int. J. Environ. Res. Public Health 2018, 15, 2085",,https://www.mdpi.com/1660-4601/15/10/2085,International Journal of Environmental Research and Public Health,"Jurgen Buekers, Madlen David, Gudrun Koppen, Jos Bessems, Martin Scheringer, Erik Lebret, Denis Sarigiannis, Marike Kolossa-Gehring, Marika Berglund, Greet Schoeters and Xenia Trier",jurgen.buekers@vito.be,full text and PDF - Free,,,,,,,,,
3,23-Dec-18,MUI,Annotating Nontargeted LC-HRMS/MS Data with Two Complementary Tandem Mass Spectral Libraries ,21/12/2018,16,Metabolites,herbert.oberacher@i-med.ac.at,https://www.mdpi.com/2218-1989/9/1/3,Metabolites. 2019 Jan; 9(1): 3,"Herbert Oberacher, Vera Reinstadler, Marco Kreidl, Michael A. Stravs, Juliane Hollender and Emma L. Schymanski",jean-philippe.antignac@oniris-nantes.fr,full text and PDF - Free JEAN-Philippe is informed,,,,,,,,,
4,29-Jan-19,"AUTH.  Sarigiannis, D.A., Karakitsios, S., Dominguez-Romero, E., Papadaki, K., Brochot, C., Kumar, V., Schumacher, M., Sy, M., Mielke, H., Greiner, M., Mengelers, M., Scheringer, M. ","Physiology-based toxicokinetic modeling in the frame of the European Human
Biomonitoring Initiative",28/01/2019,12,Environmental Research,denis@eng.auth.gr.,https://www.sciencedirect.com/science/article/pii/S0013935119300519?via%3Dihub,Environmental Research,"Dimosthenis A. Sarigiannis, Spyros Karakitsios, Elena Dominguez-Romero, Krystalia Papadaki,  Celine Brochot,  Vikas Kumare, Marta Schuhmacher,  Moustapha Sy, Hans Mielke, Mathias Greiner, Marcel Mengelers, Martin Scheringer",Dennis denis@eng.auth.gr,Not open access publication ,,,,,,,,,
5,26-Feb-19,"MU (Lola Bajard, Lisa Melymuk and Ludek Blaha*)",Prioritization of hazards of novel FRs using the mechanistic toxicology information from ToxCast and AOPs,08-Feb-19,13,Bajard et al. Environ Sci Eur (2019) 31:14,blaha@recetox.muni.cz,https://doi.org/10.1186/s12302-019-0195-z,Environmental Sciences Europe,"Lola Bajard, Lisa Melymuk & Ludek Blaha","Ludek Blaha, Lola Bajard lola.bajard@recetox.muni.cz",Open access. PDF - Free,,,,,,,,,
6,13-Apr-19,MU,Past uses of legacy SVOCs influence today’s indoor levels and human exposure, 1 April 2019,13,"Environment International (HBM4EU referenced, no funding so not necessary to mention the H2020 funding.)",melymuk@recetox.muni.cz, https://www.sciencedirect.com/science/article/pii/S0160412018327119,Environment International,"Hale Demirtepe, Lisa Melymuk, Miriam L. Diamond, Lola Bajard, Šimon Vojta, Roman Prokeš, Ond?ej Sá?ka, Jana Klánová, ?ubica Palkovi?ová Murínová, Denisa Richterová, VladimíraRašplová, TomášTrnovec", Lisa melymuk melymuk@recetox.muni.cz,Open access. PDF - Free,,,,,,,,,
7,15-May-19,VITO,"A strategy to validate the selection of human effect biomarkers using adverse outcome pathways:
proof of concept for phthalates",10/05/2019,13 and 14,International Journal of Hygiene and Environmental Health (Gold open access),kirsten.baken@vito.be ,https://www.sciencedirect.com/science/article/pii/S0013935119302658?via%3Dihub#,Environmental Research,"Kirsten A. Baken, Nathalie Lambrechts, Sylvie Remy, Vicente Mustieles, Andrea Rodríguez-Carrillo, Christiana M. Neophytou, Nicolas Olea, Greet Schoeters",kirsten.baken@vito.be,full text and PDF - Free,,,,,,,,,
8,05-Jun-19,"INSA - Louro, H., Heinälä, M., Bessems, J., Buekers, J., Vermeire, T., Woutersen, M., van Engelen, J.,  Borges, T., Rousselle, C., Ougier, E., Alvito, P., Martins, C., Assunção, R., Silva,M.J., Pronk, A., Schaddelee-Scholten, B., Gonzalez, M., Alba, M., Castaño, A., Viegas, S., Humar-Juric, T., Kononenko, L., Lampen, A., Vinggaard, A.M., Schoeters, G., Kolossa-Gehring, M., Santonen, T.",Human biomonitoring in Health Risk Assessment in Europe: current practices and recommendations for the future,28-May-19,5,International Journal of Hygiene and Environmental Health 222 (2019) 727–737. https://doi.org/10.1016/j.ijheh.2019.05.009,tiina.santonen@ttl.fi  ,https://www.sciencedirect.com/science/article/pii/S1438463919301543 ,International Journal of Hygiene and Environmental Health,"Henriqueta Louro, Milla Heinälä, Jos Bessems, Jurgen Buekers, Theo Vermeire, Marjolijn Woutersen, Jacqueline van Engelen, Teresa Borges, Christophe Rousselle, Eva Ougier, Paula Alvito, Carla Martins, Ricardo Assunção, Maria João Silva, Anjoeka Pronk, Bernice Schaddelee-Scholten, Maria Del Carmen Gonzalez, Mercedes de Alba, Argelia Castaño, Susana Viegas, Tatjana Humar-Juric, Lijana Kononenko, Alfonso Lampen, Anne Marie Vinggaard, Greet Schoeters, Marike Kolossa-Gehring, Tiina Santonen",Henriqueta Louro <Henriqueta.Louro@insa.min-saude.pt>,full text and PDF - Free sent key messages 29/04,,,,,,,,,
9,21-Jun-19,"LSMU. Strumylaite L., Kregzdyte R., Bogusevicius A, Poskiene L. Baranauskiene D., and D. Pranys (2019). ","Cadmium Exposure and Risk of Breast Cancer by Histological and Tumor Receptor Subtype in White Caucasian Women: A Hospital-Based Case-Control Study. Int. J. Mol. Sci. 2019, 20(12), 3029; ",18-Jun-19,13,International Journal of Molecular Sciences,ludek.blaha@recetox.munic.cz ,https://doi.org/10.3390/ijms20123029,International Journal of Molecular Sciences,"Loreta Strumylaite, Rima Kregzdyte, Algirdas Bogusevicius, Lina Poskiene, Dale Baranauskiene and Darius Pranys",loreta.strumylaite@lsmuni.lt,full text and PDF - Free she sent key research messages 19/4,,,,,,,,,
10,22-Jun-19,MU,"Phthalate pharmacokinetics in the adult human and rat: influence of phthalate hydrophobicity, exposure route and other factors: a review of experimental and mechanistic data",13/05/2019,12,,dominguez@recetox.muni.cz,https://www.tandfonline.com/doi/full/10.1080/03602532.2019.1620762?scroll=top&needAccess=true,Drug Metabolism Reviews,"
Elena Domínguez-Romero, Martin Scheringer",Dennis ,PDF - Free,,,,,,,,,
11,10-Jul-19,"FIOH- Santonen T., Alimonti A. Bocca B., Duca C.D., Galea K.S., Godderis L., Göen T., Gomes B., Hanser O., Iavicoli I., Janasik B., Jones K., Kiilunen M., Koch H.M., Leese E., Leso V., Louro H., Ndaw S., Porras S.P., Robert A., Ruggieri F., Scheepers P.T J , Silva M.J., Viegas S.,  Wasowicz W., Castano A., Sepai, O.",Setting Up a Collaborative European Human Biological Monitoring Study on Occupational Exposure to Hexavalent Chromium,09/07/2019,8,"Environ Res, 177, 108583.  DOI: 10.1016/j.envres.2019.108583",tiina.santonen@ttl.fi  ,https://www.sciencedirect.com/science/article/pii/S0013935119303809?via%3Dihub,Environmental Research,"Tiina Santonen, Alessandro Alimonti, Beatrice Bocca, Radu Corneliu Duca, Karen S. Galea, Lode Godderis, Thomas Göen, Bruno Gomes. Ogier Hanser, Ivo Iavicoli,  Beata Janasik, Kate Jones, Mirja Kiilunen, Holger M. Koch, Elizabeth Leese, Veruscka Leso, Henriqueta Louro, Sophie Ndaw, Simo P. Porras, Alain Robert, Flavia Ruggieri, Paul T.J. Scheepers, Maria J.Silva, Susana Viegas, Wojciech Wasowicz, Argelia Castano, Ovnair Sepai","WP8. Tiina, Ovnair, Beatrice, Henriqueta etc.",PDF - Free,,,,,,,,,
